Unnamed: 0,BUS,R,BUS.1,R.1,BUS.2,BUS.3,R.2,R.3,BUS.4,BUS.5,R.4,R.5,BUS.6,R.6,BUS.7,R.7,R.8,R.9,R.10,BUS.8,BUS.9,R.11,R.12,BUS.10,Unnamed: 1,R.13,BUS.11,R.14,R.15,BUS.12,R.16,R.17,Unnamed: 2
,VE151,16105,TN303,16109,TT03,TT05,16915,"16919
16921",TN307,TT923,16925,16115,TT927,16117,TT929,16119,16931,16933,16935,TT937,TN315,16125,16127,TN319,,16939,TN321,16941,16131,TT943,16945,16947,
,,,,G,G,G,,G,,,,,,,,,,,,,,,,,,G,G,G,,,,,
,TI veneto,TI,TI,TI,TT,TT,TT,TT,TI,TT,TT,TI,TT,TI,TT,TI,TT,TT,TT,TT,TI,TI,TI,TI,,TT,TI,TT,TI,TT,TT,TT,
,(1),(1),(1),,(1),(1),(3),(1),,(1),(1),(1),(3),(1),(1),,(1),(1),,(1),(1),(1),(1),(3),,(1),(1),(1),,(1),(3),(1),
Trento,p.,-,5:05,5:35,6:05,7:00,8:00,8:05,8:24,9:05,9:35,10:05,11:05,11:05,12:05,12:35,13:05,13:35,14:05,15:05,15:35,16:05,16:35,17:05,17:05,,17:40,18:05,18:40,19:05,20:05,20:05,21:05
Trento S. Chiara,p.,-,5:09,5:44,6:09,7:09,8:09,8:09,8:28,9:14,9:44,10:09,11:09,11:14,12:09,12:44,13:09,13:39,14:09,15:09,15:44,16:14,16:39,17:09,17:14,,-,18:14,-,19:09,20:14,20:09,21:09
Trento S. Bartolameo,p.,-,5:11,5:46,6:11,7:11,8:11,8:11,8:30,9:16,9:46,10:11,11:11,11:16,12:11,12:46,13:11,13:41,14:11,15:11,15:46,16:16,16:41,17:11,17:16,,-,18:16,-,19:11,20:16,20:11,21:11
Villazzano,p.,-,5:16,5:48,6:16,7:13,8:13,8:16,8:35,9:18,9:48,10:16,11:16,11:18,12:16,12:48,13:16,13:46,14:16,15:16,15:48,16:18,16:46,17:16,17:18,,-,18:18,-,19:16,20:18,20:16,21:16
Povo – Mesiano,p.,-,5:21,5:54,6:21,7:19,8:19,8:21,8:40,9:24,9:54,10:21,11:21,11:24,12:21,12:54,13:21,13:51,14:21,15:21,15:54,16:24,16:51,17:21,17:24,,-,18:24,-,19:21,20:24,20:21,21:21
Pergine Valsugana,a.,-,5:31,6:04,6:31,7:29,8:29,8:31,8:52,9:34,10:04,10:31,11:31,11:34,12:31,13:04,13:31,14:01,14:31,15:31,16:04,16:34,17:01,17:31,17:34,,18:01,18:34,19:01,19:31,20:34,20:31,21:31
,p.,-,5:32,6:05,6:32,7:30,8:30,8:32,9:02,9:35,10:05,10:32,11:32,11:35,12:32,13:05,13:32,14:02,14:32,15:32,16:05,16:35,17:02,17:32,17:35,,18:02,18:35,19:02,19:32,20:35,20:32,21:32
S. Cristoforo al L. I.,p.,-,5:36,6:10,6:36,7:35,8:35,8:36,9:06,9:40,10:10,10:36,11:36,11:40,12:36,13:10,13:36,14:06,14:36,15:36,16:10,16:40,17:06,17:36,17:40,,-,18:40,-,19:36,20:40,20:36,21:36
Calceranica,p.,-,5:41,6:15,6:41,7:40,8:40,8:41,9:11,9:45,10:15,10:41,11:41,11:45,12:41,13:15,13:41,14:11,14:41,15:41,16:15,16:45,17:11,17:41,17:45,,-,18:45,-,19:41,20:45,20:41,21:41
Caldonazzo,p.,-,5:47,6:19,6:47,7:44,8:44,8:47,9:17,9:49,10:19,10:47,11:47,11:49,12:47,13:19,13:47,14:17,14:47,15:47,16:19,16:49,17:17,17:47,17:49,,-,18:49,-,19:47,20:49,20:47,21:47
Levico Terme,p.,-,5:52,6:26,6:52,7:51,8:51,8:52,9:22,9:56,10:26,10:52,11:52,11:56,12:52,13:26,13:52,14:22,14:52,15:52,16:26,16:56,17:22,17:52,17:56,,18:16,18:56,19:16,19:52,20:56,20:52,21:53
Roncegno B. M.,p.,-,6:03,6:36,7:05,8:01,9:01,9:03,9:33,10:06,10:36,11:03,12:03,12:06,13:03,13:36,14:03,14:33,15:03,16:03,16:36,17:06,17:33,18:03,18:06,,-,19:06,-,20:03,21:06,21:03,-
Borgo Valsugana Centro,p.,-,6:08,6:43,7:10,8:08,9:08,9:08,9:38,10:13,10:43,11:08,12:08,12:13,13:08,13:43,14:08,14:38,15:08,16:08,16:43,17:13,17:38,18:08,18:13,,-,19:13,19:29,20:08,21:13,21:08,-
Borgo Valsugana Est,a.,-,6:10,6:44,7:12,8:09,9:09,9:10,9:41,10:14,10:44,11:10,12:10,12:14,13:10,13:44,14:10,14:41,15:10,16:10,16:44,17:14,17:41,18:10,18:14,,18:31,19:14,19:37,20:10,21:14,21:11,-
,p.,-,6:11,-,7:13,8:10,9:10,9:11,-,10:15,-,11:11,12:11,12:15,13:11,-,14:11,-,15:11,16:11,-,17:15,-,18:11,18:15,,-,19:15,-,20:11,21:15,-,-
Strigno,p.,-,6:16,-,7:18,8:15,9:15,9:20,-,10:20,-,11:20,12:20,12:20,13:20,-,14:20,-,15:20,16:20,-,17:20,-,18:20,18:20,,-,19:20,-,20:20,21:20,-,-
Grigno,p.,-,6:25,-,7:29,8:26,9:26,9:29,-,10:31,-,11:29,12:29,12:31,13:29,-,14:29,-,15:29,16:29,-,17:31,-,18:29,18:31,,-,19:31,-,20:29,21:31,-,-
Tezze di Grigno,p.,-,6:31,-,7:35,8:32,9:32,9:35,-,10:37,-,11:35,12:35,12:37,13:35,-,14:35,-,15:35,16:35,-,17:37,-,18:35,18:37,,-,19:37,-,20:35,21:37,-,-
Primolano,a.,-,6:34,-,7:38,8:36,9:36,9:38,-,10:41,-,11:38,12:38,12:41,13:38,-,14:38,-,15:38,16:38,-,17:41,-,18:38,18:41,,-,19:41,-,20:38,21:41,-,-
,p.,5:38,6:35,-,7:39,8:37,9:37,9:39,-,10:42,-,11:39,12:39,12:42,13:39,-,14:39,-,15:39,16:39,-,17:42,-,18:39,18:42,,-,19:42,-,20:39,21:42,-,-
Cismon del Grappa,p.,5:45,6:47,-,7:51,8:47,9:47,9:51,-,10:52,-,11:51,12:51,12:52,13:51,-,14:51,-,15:51,16:51,-,17:52,-,18:51,18:52,,-,19:52,-,20:51,21:52,-,-
S. Marino,p.,5:50,6:52,-,7:56,8:53,9:53,9:56,-,10:58,-,11:56,12:56,12:58,13:56,-,14:56,-,15:56,16:56,-,17:58,-,18:56,18:58,,-,19:58,-,20:56,21:58,-,-
Carpanè Valstagna,p.,5:55,6:58,-,8:02,8:59,9:59,10:02,-,11:04,-,12:02,13:02,13:04,14:02,-,15:02,-,16:02,17:02,-,18:04,-,19:02,19:04,,-,20:04,-,21:02,22:04,-,-
S. Nazario,p.,6:00,7:02,-,8:06,9:03,10:03,10:06,-,11:08,-,12:06,13:06,13:08,14:06,-,15:06,-,16:06,17:06,-,18:08,-,19:06,19:08,,-,20:08,-,21:06,22:08,-,-
Solagna,p.,6:04,7:05,-,8:09,9:06,10:06,10:09,-,11:11,-,12:09,13:09,13:11,14:09,-,15:09,-,16:09,17:09,-,18:11,-,19:09,19:11,,-,20:11,-,21:09,22:11,-,-
Bassano del Grappa,a.,6:15,7:12,-,8:16,9:17,10:17,10:16,-,11:22,-,12:16,13:16,13:22,14:16,-,15:16,-,16:16,17:16,-,18:22,-,19:16,19:22,,-,20:22,-,21:16,22:22,-,-
